,,,,,,,,,,,,,,,,
momentum+ rate confirmed correct,Beam Momentum Setting (MeV/c),Beam Momentum Measured (MeV/c),Beam Polarity,Run Number,VME Run Number,Trigger Config,Aerogel Index,Run Date,# Spills,# Muons,# Pions,pion max cut,muon min cut,muon max cut,statistics code comments,comments
,320,303.69,Positive,1543,1609,LEP 5.1,1.075,4/19,381,5996,2116,1800,2400,10500,,dropped packets
,320,303.72,Positive,1645,1611,LEP 5.1,1.075,4/19,255,4081,1451,1800,2700,10400,,
,320,303.12,Positive,1698,1642,LEP 5.1,1.075,4/22,464,7361,2548,1800,2200,10400,,
,320,303.47,Positive,1700,1643,LEP 5.1,1.075,4/22,405,6818,2294,1900,2300,10400,,
,,,,Total,Total,,,,,51351,18373,,,,,
,330,325.96,Positive,1397,1455,LEP 5.1,1.075,4/5,644,9666,5126,3000,3900,12000,,
,330,319.53,Positive,1640,1607,LEP 5.1,1.075,4/19,13,72,29,2000,3800,10000,,
,330,308.15,Positive,1647,1612,LEP 5.1,1.075,4/19,23,350,130,2000,3000,10000,,
,330,310.41,Positive,1648,1613,LEP 5.1,1.075,4/19,496,7244,2836,2100,3000,10400,,
,330,308.81,Positive,1650,1614,LEP 5.1,1.075,4/19,523,7809,3014,1700,3000,10500,,
,330,308.96,Positive,1659,1615,LEP 5.1,1.075,4/19,465,7082,2821,1800,2900,10400,,
,330,310.13,Positive,1661,1617,LEP 5.1,1.075,4/20,276,4270,1606,1900,2800,10000,,"""high mpmt frequency mPMT 130 PMT 15 at the end off the run"""
,330,309.29,Positive,1662,1618,LEP 5.1,1.075,4/20,253,3912,1545,2200,3000,11000,,"""high frequncy mPMT 130 PMT 15 few minues at the end of the run"""
,330,315.65,Positive,2394,2019,LEP9Li v2,1.075,5/27,743,10819,4687,2500,3200,11000,,"""ACTEVD = 1, 0.8 second beam spill, collimators at 50"""
,330,314.83,Positive,2404,2029,LEP9Li v2,1.075,5/27,364,5219,2185,2100,3200,11000,,"""ACTEVD = 1, 0.8 second beam spill, collimators at 50"""
,,,,Total,Total,,,,,46705,18824,,,,,
,340,331.39,Positive,1398,1456,LEP 5.1,1.075,4/5,848,14836,8440,3500,4000,12000,,
,340,322.38,Positive,1636,1605,LEP 5.1,1.075,4/18,508,11333,5495,2600,3500,11800,,"from elog: "" Stopped: 12:37 due to dropped packets at 12:33:52.057 2025/04/15; had to stop manually - RBU disappeared, PMTs were running, forced stop."""
,340,322.45,Positive,1638,1606,LEP 5.1,1.075,4/18,466,9916,5038,2900,3800,12000,,
,340,321.87,Positive,1703,1645,LEP 5.1,1.075,4/22,888,18563,8971,2800,3600,11800,,
,,,,Total,Total,,,,,54648,27944,,,,,
,360,355.71,Positive,1338,1431,LEP 5.1,1.06,3/31,511,15025,12135,3200,3800,11200,,
,360,344.82,Positive,2027,1805,LEP 5.1,1.06,5/7,302,7173,5097,2400,3000,10500,,
,360,344.91,Positive,2029,1806,LEP 5.1,1.06,5/7,397,10725,7634,2600,3000,11000,,
,,,Positive,Total,Total,,,,,32923,24866,,,,,
,370,361.36,Positive,1339,1432,LEP 5.1,1.06,4/1,479,16044,13704,2900,4000,12000,,
,370,358.79,Positive,1898,1743,LEP 5.1,1.06,5/1,466,13072,10629,2800,3700,11000,,
,370,358.55,Positive,1900,1744,LEP 5.1,1.06,5/1,64,1860,1523,2600,3800,10500,,"notes in calibration and beam run tracker spreadsheet ""VME checks crashed"""
,370,358.84,Positive,1901,1745,LEP 5.1,1.06,5/1,280,8232,6753,2800,3400,10700,,
,370,358.82,Positive,2023,1803,LEP 5.1,1.06,5/7,463,10514,8549,2800,3700,11000,,
,370,358.67,Positive,2025,1804,LEP 5.1,1.06,5/7,434,8989,7626,2700,3600,10800,,"has different momentum recorded in Beam log spreadsheat versus Calibration and Beam run Tracker spreadsheet. After consulting the elog, it seems more likely to be a 370 run"
,,,,Total,Total,,,,,58711,48784,,,,,
,380,375.49,Positive,1340,1433,LEP 5.1,1.06,4/1,401,13865,13945,4000,5200,12000,,
,380,364.3,Positive,2013,1799,LEP 5.1,1.06,5/6,153,4945,4605,3400,4000,11000,,
,380,363.63,Positive,2017,1800,LEP 5.1,1.06,5/6,393,12961,11601,3300,4000,11000,,"notes in calibration and beam run tracker spreadsheet ""VME checks crashed"""
,380,363.59,Positive,2019,1801,LEP 5.1,1.06,5/7,426,14278,12684,2900,3900,11200,,
,380,364.41,Positive,2021,1802,LEP 5.1,1.06,5/7,235,6970,5955,3200,4000,11000,,
,,,,Total,Total,,,,,53019,48790,,,,,
,410,393.96,Positive,2085,1834,LEP 5.1,1.047,5/10,490,21624,26891,2000,3100,11000,,
,,,,Total,Total,,,,,21624,26891,,,,,
